,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,rating
63,"Numberly
4.1",Marketing Data Analyst,Paris,"Description de l'entreprise

Numberly est reconnu comme l’un des meilleurs spécialistes mondiaux du Data Marketing avec près de 500 collaborateurs et 8 bureaux dans le monde au service de plus de 500 clients de premier plan (L'Oréal, Ipsen, Groupe Seb, Moleskine, Ouigo, Maje, HSBC…). En mettant la technologie au service des marques et des consommateurs, Numberly est au cœur de la croissance des entreprises et de l’aspiration de chacun à un marketing plus responsable et plus pertinent. Numberly s’appuie sur les avancées les plus récentes en matière de traitement, d’analyse et d’activation media des données dans un contexte vertueux alliant compétitivité des entreprises et respect renforcé de la vie privée et de la protection des données.

Description du poste

Vous recherchez des projets stimulants dans un environnement bienveillant tout en participant à la croissance d’un groupe expert du marketing digital ? Vous avez envie d’accompagner des clients dans la réflexion de leurs stratégies digitales puis leurs déploiements sur les différents canaux et plateformes d’activation ? Rejoignez la team Numberly !",€40K - €60K (Employer est.),201 to 500 Employees,Company - Public,Media & Communication,Advertising & Public Relations,2000,$25 to $100 million (USD),4.1
64,Licorne Society,Data Analyst - startups,Paris,"Licorne Society est à la recherche de Data Analyst pour des startups innovantes, ne laisse pas passer ta chance !

C’est quoi Licorne Society ?

Licorne Society est le seul outil qui te met en relation avec plus de 3000 startups recrutant en France, tous secteurs et métiers confondus. Qu’elles soient en création ou en phase d’hypercroissance, toutes les startups t’attendent sur Licorne Society. Ah oui, et c’est gratuit !
Notre promesse : faire matcher ta recherche avec les meilleures opportunités et mettre en avant ton profil auprès des startups qui recrutent.

>> www.licornesociety.com <<

L'inscription prend moins de 10 minutes. Tu pourras alors accéder à l'ensemble des offres en startup du marché et être contacté directement par les recruteurs :

1 - Remplis ton profil et tes attentes.
2 - Passe en revue les offres que nous te proposons en fonction de tes critères de recherche et reçois une notification à chaque nouvelle offre publiée. Avec notre mode Tinder, tu n’as qu’à swiper les offres. Matcher avec le job de tes rêves n’a jamais été aussi simple !
3 - Reçois des sollicitations directes pour des postes de Data Analyst au sein de nos startups préférées (pour ne citer que BackMarket, PlayPlay, Payfit, Trustpair ou encore Choco)

Profil recherché :

Les parcours particulièrement valorisés chez Licorne Society :

On se dit à tout de suite sur la plateforme ?
>> www.licornesociety.com <<",€40K - €60K (Employer est.),1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable,-1
65,"Numberly
4.1",Data Analyst Programmatic,Paris,"Company Description

Numberly, Marketing Technologist, puts data at the service of customer relations. The group enables companies to understand the needs of their prospects and customers as well as interact with each other in an efficient and relevant way.
With expertise in omnichannel orchestration, programmatic activation and conversational platforms, its experts develop and implement high-impact experiments.
With teams in Paris, London, Amsterdam, Dubai, Montreal and New York, Numberly operates in more than 50 countries: the international group has been expanding for almost 20 years. More than 500 employees contribute every day to quality customer satisfaction and execution, remaining curious, agile and innovative, a state of mind that drives Numberly.",€40K - €60K (Employer est.),201 to 500 Employees,Company - Public,Media & Communication,Advertising & Public Relations,2000,$25 to $100 million (USD),4.1
66,"INFORMATIS
3.0",Analyste DATA,Nogent-sur-Seine,"INFORMATIS-TS recrute un Analyste DATA. Intégré au service It et encadré par son responsable, vous êtes en charge de :
Vos missions :
Préparation d’un plan de travail de correction des données
Recueillir toutes les données statiques pour L’ERP de l’entreprise
Saisir, mettre à jour, vérifier la cohérence, contrôler la qualité des données
Catégoriser les données afin de les exploiter au mieux
Créer et mettre à jour des manuels de gestion de données
Participer à la création d'un système d'analyse de la qualité des données
Analyser des données simples existantes et rechercher des écarts de données",€40K - €60K (Employer est.),10000+ Employees,Company - Private,-1,-1,1971,$25 to $100 million (USD),3.0
67,"Natixis
4.1",Data Analyst (F/H) - Financing Global Trade Finance & BI,Charenton-le-Pont,"Acteur financier d'envergure internationale, Natixis Corporate & Investment Banking met à disposition des entreprises, institutions financières, sponsors financiers, souverains et supranationaux une palette de services en conseil, investment banking, financements, banque commerciale et sur les marchés de capitaux.
Ses équipes d'experts, présentes dans 30 pays, conseillent les clients sur leur développement stratégique en les accompagnant dans la croissance et la transformation de leurs activités tout en maximisant leur impact positif. Natixis Corporate & Investment Banking s'est engagée à soutenir la transition environnementale en alignant son bilan financier sur une trajectoire de +1,5 °C d'ici à 2050.
Natixis Corporate & Investment Banking fait partie du pôle Global Financial Services du Groupe BPCE, 5e établissement financier européen et 2e acteur bancaire en France à travers ses réseaux Banque Populaire et Caisse d'Epargne.
Si vous êtes enthousiaste à l'idée de relever des défis passionnants, d'avoir un impact et de contribuer à la construction du monde de demain, rejoignez-nous et faites bien plus qu'un simple job.",€40K - €60K (Employer est.),10000+ Employees,Company - Private,Financial Services,Investment & Asset Management,2006,$5 to $10 billion (USD),4.1
68,"Clarins
3.6",CDD – CRM Data Analyst,Neuilly-sur-Seine,"CDD - CRM Data Analyst

A global leading skincare and make-up company, Clarins group is the embodiment of a committed family history, with a fierce passion for innovation and spirit of independence. Its raison d’être is ""making life more beautiful, passing on a more beautiful planet"".

Operating in more than 150 countries, we are now the number one skincare company in Europe and are accelerating our development on all other continents, particularly in Asia and the Americas.

Because our 8,000 talents are unique, we are committed to promoting diversity in all its forms.

Do you want to help write the next chapter of our story? We are looking for a CRM Data Analyst based in Paris.

The role:",€40K - €60K (Employer est.),5001 to 10000 Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,1954,Unknown / Non-Applicable,3.6
69,"McKinsey & Company
4.4","Data Scientist (full time, all seniority levels) - QuantumBlack",Paris,"Who You'll Work With
Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey consultants on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.
This hybrid client-facing/technical role will allow you to use state of the art technologies to solve highly impactful business problems, whilst also leveraging your strong communication skills to convey complex intractable ideas to non-technical audiences.
Who you are
This full time position is for a data scientist across all seniority levels with strong intrinsic technical ability and an aptitude to solving complex problems using technology.",€40K - €60K (Employer est.),201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,2009,Unknown / Non-Applicable,4.4
70,"EY
3.9",Consultant(e) / Manager - Data Analytics & Automatisation - FAAS - Lille - H/F,Lille,"EY est au cœur de la transformation et de la digitalisation de l’économie.

Les équipes Financial Accounting and Advisory Services (FAAS) d’EY accompagnent les directions financières pour répondre aux grands enjeux de la fonction finance : mesurer l’efficacité et la création de valeur des entreprises, accompagner dans la transformation digitale, être acteur de la stratégie de l’entreprise, participer à la politique d’investissement et de financement mais aussi optimiser les processus et améliorer le contrôle de la fonction finance.

EY propose un large éventail de services en matière de transformation de la fonction finance, de pilotage de la performance, de reporting consolidé, d’excellence comptable, de trésorerie, d’optimisation des processus financiers et de contrôle interne, et d’assistance comptable pour les transactions (acquisition, carve out, introduction en bourses, refinancement…)",€40K - €60K (Employer est.),Unknown,Unknown,-1,-1,-1,Unknown / Non-Applicable,3.9
71,"APRIL
3.7",Data Scientist,Lyon,"Véritable industrie de la donnée, rejoignez le monde de l’assurance et mettez votre expertise au service de la valorisation de notre patrimoine informationnel !

Votre objectif : éclairer et objectiver les prises de décisions des différentes parties prenantes de l'entreprise.

Et si être « Data Scientist » chez APRIL vous permettait …- de choisir un métier dont vous pourrez être fier : «accompagner et protéger à chaque moment qui compte, simplement» telle est la mission et la raison d’être partagée par l’ensemble de nos collaborateurs,
de développer votre expertise dans un environnement en pleine transformation, au carrefour de l’innovation et de l’expérience client : notre ambition à horizon 2023, être un acteur digital, omnicanal et agile, champion de l'expérience client,
de vous engager au sein d'une entreprise engagée : nous rejoindre, c’est faire partie d’un Groupe responsable qui agit en entreprise citoyenne en étant mobilisé autour de 4 axes (santé, aidants, éducation et environnement) avec un impact sociétal positif et réel.
Nous nous engageons à promouvoir des emplois respectant la diversité et la différence, ouverts à chacun.


Gestion des données et support à la décision

Veille et développement de l'activité

Cette opportunité est à pourvoir dans le cadre d'une création de poste

Directement rattaché.e à Nicolas , Directeur de la distribution directe, vous rejoindrez l'équipe DIAG (Data Innovation & Analytics group) basée à Lyon.

Dès votre arrivée, vous bénéficierez d'un parcours d'intégration pour favoriser votre prise de poste.

Vous disposez au minimum d'un Bac +3en statistique et traitement de l'information ou Datamining ou économétrie ou informatique décisionnelle.



Cette opportunité est faite pour vous ? N'attendez plus pour postuler en nous adressant votre CV accompagné de quelques lignes sur votre projet professionnel et ce qui pourrait vous épanouir aujourd'hui. Ce sera la première étape de notre processus de recrutement.

Si vous n’êtes pas sûr(e) que cette offre soit LA bonne, d’autres postes sont à pourvoir, alors n’hésitez pas à consulter notre site carrière et/ou notre page Linkedin !",€40K - €60K (Employer est.),1 to 50 Employees,Company - Public,Insurance,Insurance Carriers,1998,$1 to $5 billion (USD),3.7
72,"AXA
4.1",Business Data Analyst - Operations,Puteaux,"Référence de l’offre
230003VA
Type de contrat
CDI
Niveau d'expérience
Expérimentés
Société du groupeAXA Investment Managers
Famille métier",€40K - €60K (Employer est.),10000+ Employees,Company - Private,Insurance,Insurance Carriers,1985,$25 to $100 million (USD),4.1
73,"Le Groupe La Poste
3.6",Data Analyst Export,Paris,"La Poste Groupe change, nos métiers évoluent.
Etre toujours au plus près des Français, développer la confiance dans le numérique et être acteur de la transformation écologique, c'est aussi le sens de notre métier.
Chaque jour, sur l'ensemble du territoire, nos 250 000 collaborateurs imaginent les services de demain.
Rejoindre La Poste Groupe, c'est rejoindre une entreprise responsable !
Vous aussi, engagez-vous à nos côtés pour donner du sens à votre métier.

Pour accompagner la croissance du e-Commerce à l’international, la Direction des Opérations Internationales (DOI) a pour mission d’améliorer l’expérience client et la compétitivité des offres.Au sein de la DOI, vous avez en charge les outils de pilotage de la supply chain, proposez et mettez en œuvre les outils d’aide à la décision : Organiser et piloter les échanges de données : Pilote les échanges de données entre les parties prenantes : centres opérationnels, opérateurs de transport et postes étrangèresEst moteur sur le développement d’outil de supervision métier notamment sur l’absence de transmission d’informationAnalyse les dysfonctionnements en coordination les équipes SI ou techniques de La Poste et les partenaires externesGarantir l’efficience opérationnelle et la satisfaction client : Est force de proposition sur la mise en place d’outils dédiés basés sur des technologies innovantesIdentifie les impacts clients ou impacts pour la Poste des écarts ou des situations spécifiques rencontréesLance les plans d’actions en partenariat avec les équipes de la DOI, des opérations et des partenaires du transportAssurer la veille règlementaire sur la Data : Est porteur du changement des normes et règlementations pour La Poste Accompagne les parties prenantes et s’assure de la faisabilité et de la compréhension des enjeux techniquesParticipe aux instances internationales

Diplômé d'un Bac + 5 ""DATA"", vous possédez une expérience de 5 années dans la logistique ou les SI associée idéalement à une expérience en management de projet.",€40K - €60K (Employer est.),10000+ Employees,Company - Private,Financial Services,Banking & Lending,1991,$10+ billion (USD),3.6
74,1Dsolutions,Consultant Data analyst,Paris,"Ajouté le 25/04/2023
Durée : 12 mois
Donne un sens aux données à l’aide de ses connaissances analytiques (SQL, analytics/BI, statistiques basiques).
Il travaille en collaboration avec le management pour résoudre des questions business en se focalisant sur l’analyse du passé.
Contribue à la mise en œuvre des outils informatiques, des techniques et des méthodes statistiques pour permettre d’organiser, synthétiser et traduire efficacement des données
Fournir un appui analytique à la conduite d’exploration et à l’analyse complexe de données
• Contribuer à l’industrialisation du procédé pour les données les plus intéressantes. • Organiser, synthétise et traduit les informations pour faciliter la prise de décision.",€40K - €60K (Employer est.),-1,-1,-1,-1,-1,-1,-1
75,"Thales
4.0",Ingénieur Data Analyst F/H,Lille,"QUI SOMMES-NOUS ?
Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d’importance vitale. Ces activités, qui regroupent radiocommunications, réseaux, systèmes de protection, systèmes d’information critiques et cybersécurité, répondent aux besoins de marchés où l’utilisation des nouvelles technologies numériques est déterminante. Thales intervient tout au long de la chaîne de valeur, des équipements aux systèmes en passant par le soutien logistique et les services associés.
Le site de Lambersart est largement dédié aux activités de Soutien & Services Clients Opérations. Il abrite également les activités d’ingénierie et intégration des réseaux stratégiques, et de développement logiciel. Il développe et maintient des solutions de réseaux stratégiques, et réalise les activités de soutien et de service client pour l’ensemble des solutions livrées de systèmes d’information et de communications sécurisées.














Le poste pouvant nécessiter d'accéder à des informations relevant du secret de la défense nationale, la personne retenue fera l'objet d'une procédure d’habilitation, conformément aux dispositions des articles R.2311-1 et suivants du Code de la défense et de l’IGI 1300 SGDSN/PSE du 09 août 2021.
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.",€40K - €60K (Employer est.),1001 to 5000 Employees,Company - Public,Aerospace & Defense,Aerospace & Defense,2000,$1 to $5 billion (USD),4.0
76,"Canal Plus
3.7",CDI - data Analyst,Puteaux,"CANAL+ Brand Solutions, Régie publicitaire du groupe Canal+, commercialise 36 marques média, dont CANAL+, C8, CSTAR, CNEWS, les marques Eurosport & Discovery, RTL9, ViceTV, myCANAL, UGC et le Grand Rex et propose aux marques des solutions de communication innovantes en TV, Digital, Cinéma, Print, Data et Brand content.

Rattaché(e) à la Direction Digital, Data et Innovation de la Régie, vous aurez pour principaux objectifs le développement et la mise en place de solutions data en collaboration avec les équipes DATA du groupe Canal+, ainsi que la promotion de ces solutions, en interne et en externe.
Pour cela vous serez amené.e à :
Exploiter et analyser les bases de données de l’écosystème Canal+ à des fins d’analyse, d’optimisation, de ciblage et de mesure de l’efficacité des campagnes",€40K - €60K (Employer est.),5001 to 10000 Employees,Company - Public,Media & Communication,Broadcast Media,1984,$5 to $25 million (USD),3.7
77,"AUCHAN RETAIL SERVICES
3.5",Data Analyst F/H,Villeneuve-d'Ascq,"Avec Auchan, révélez vos talents...

Le commerce est le lieu d'expression privilégié des enjeux contemporains de notre société : environnement, pouvoir d’achat, nouvelles expériences client, haut niveau de service et digitalisation des parcours d’achats, respect de la vie privée, impact de la Data et de l’IA sur la transformation d’ensemble des métiers … le Retail de demain s’invente aujourd’hui !

Nous rejoindre, c'est rejoindre une entreprise qui agit au quotidien avec l'ensemble de ses équipes, pour réinventer sa façon de faire du commerce. Aujourd'hui, rejoignez les équipes d’Auchan Retail France au cœur de la transformation d’une grande entreprise de Retail et d’enjeux sociétaux majeurs.

Nous recherchons un pour pour notre",€40K - €60K (Employer est.),Unknown,Company - Private,Retail & Wholesale,General Merchandise & Superstores,1981,Unknown / Non-Applicable,3.5
78,"Nature et découvertes
3.7",Data Analyst F/H,Versailles,"Vous souhaitez concilier commerce, humanisme, engagement, audace et exigence ? Rejoignez Nature & Découvertes ! Créée en 1990, l’entreprise française s’est dotée d’un écosystème réunissant sa Fondation pour la biodiversité et l’éducation à la nature, son centre de formation ainsi qu’une ferme urbaine de permaculture. Certifiée B Corp et entreprise à mission, elle agit au quotidien pour s’inscrire dans un monde plus durable à travers son offre de produits et expériences. Avec plus de 90 magasins en Europe, elle s’attache également au développement et à l'épanouissement de ses 1000 salariés.

Dans le cadre de notre développement nous recherchons un.e Data Analyst H/F

Au sein de la direction Clients, lvous traiterez l’ensemble des données disponibles (tickets, clients, opérations commerciales, CRM …) pour développer la connaissance clients dans l’entreprise, suivre et optimiser l’efficacité des actions, développer et maintenir des outils innovants pour exploiter la data.",€40K - €60K (Employer est.),1001 to 5000 Employees,Unknown,Retail & Wholesale,Other Retail Stores,1990,Unknown / Non-Applicable,3.7
79,"EY
3.9",Consultant Data Analyst Débutant F/H - Septembre 2022,Paris,"L’équipe Digital Hub est en charge de l’ensemble des projets digitaux pour les métiers de l’audit et du conseil financier. En position transversale, les domaines d’intervention de l’équipe sont très larges (industrie, secteur public, énergie, et retail, etc.) et le Digital Hub constitue le point d’entrée unique pour l'ensemble pour accompagner sur le terrains nos clients sur les thématiques de Transformation Digitale.
Notre objectif est également, par un effort permanent de formation et de qualification, d’être à la pointe de la technologie afin d’anticiper l’évolution du marché et les conséquences sur l’organisation de nos clients, leurs besoins et les éventuelles conséquences sur nos différents métiers. Localisée au sein du Lab EY à La Défense, espace de 600m² dédié à l’innovation autour du digital, de la data et du Cyber, l’équipe du Digital Hub fait partie de l’écosystème innovation en collaboration étroite avec les autres métiers du Conseil, du Juridique et de la transaction.
Vous serez intégré au sein d’une équipe de 20 personnes, gérée en mode start-up, dédiée à la mise en place de la transformation digitale des missions d’audit et de conseil financier.",€40K - €60K (Employer est.),Unknown,Unknown,-1,-1,-1,Unknown / Non-Applicable,3.9
80,"Natixis
4.1",Data Analyst - Trade Finance & BI (F/H),Charenton-le-Pont,"Acteur financier d'envergure internationale, Natixis Corporate & Investment Banking met à disposition des entreprises, institutions financières, sponsors financiers, souverains et supranationaux une palette de services en conseil, investment banking, financements, banque commerciale et sur les marchés de capitaux.
Ses équipes d'experts, présentes dans 30 pays, conseillent les clients sur leur développement stratégique en les accompagnant dans la croissance et la transformation de leurs activités tout en maximisant leur impact positif. Natixis Corporate & Investment Banking s'est engagée à soutenir la transition environnementale en alignant son bilan financier sur une trajectoire de +1,5 °C d'ici à 2050.
Natixis Corporate & Investment Banking fait partie du pôle Global Financial Services du Groupe BPCE, 5e établissement financier européen et 2e acteur bancaire en France à travers ses réseaux Banque Populaire et Caisse d'Epargne.
Si vous êtes enthousiaste à l'idée de relever des défis passionnants, d'avoir un impact et de contribuer à la construction du monde de demain, rejoignez-nous et faites bien plus qu'un simple job.",€40K - €60K (Employer est.),10000+ Employees,Company - Private,Financial Services,Investment & Asset Management,2006,$5 to $10 billion (USD),4.1
81,"CGI FINANCE
3.5",Product Data Analyst Senior,Lille,"Au sein de la Direction Data Intelligence, nous recherchons actuellement un(e) Product Data Analyst senior.
Ce poste clé aura pour mission de nourrir la stratégie de développement de CGI Finance grâce à une démarche Data Centric en assurant les missions suivantes :
Comprendre les enjeux business des principaux métiers de CGI Finance (Financement automobile B2B2C et Digital, Financement Bateau, Rachat de crédit, Recouvrement, risque de crédit)
Participer à l’écriture des User Story et fonctionnalités attendues sur la road Map Data
Définir les KPIs et métriques à suivre pour chaque fonctionnalités
Rechercher et analyser les données nécessaires dans le SI en collaboration avec les sachants métiers/ Data afin de constituer les Data Pool / Data Mart nécessaires
Réaliser les spécifications éventuelles pour faire évoluer le SI afin de collecter/calculer les données nécessaires",€40K - €60K (Employer est.),1001 to 5000 Employees,Company - Private,Financial Services,Banking & Lending,1951,$1 to $5 billion (USD),3.5
82,"mediametrie
3.8",CDI - Data Analyst/Scientist F/H,Paris,"Descriptif de l'offre
Vous êtes passionné(e) par la Data Science et les innovations mathématiques, vous aimez analyser les données, les transformer en informations, développer de nouveaux algorithmes et résoudre des problèmes analytiques complexes ? Rejoignez notre Direction Data Science !
La Direction Data Science, composée de plus de 30 collaborateurs, intervient dans l’élaboration des études dès l’amont par la conception et la définition des méthodologies les plus adaptées et en aval par le traitement et l’analyse des données.
Votre environnement de travail :
Rattaché(e) au Directeur du Département Statistique et en collaboration avec l’équipe, vos missions seront les suivantes ;",€40K - €60K (Employer est.),501 to 1000 Employees,Company - Private,Media & Communication,Advertising & Public Relations,1985,Unknown / Non-Applicable,3.8
83,"Mirakl - French
4.1",Data Analyst,Paris,"Le secteur des marketplaces croît deux fois plus rapidement que l'ensemble du eCommerce. La mission de Mirakl est simple : nous aidons plus de 350+ clients à saisir cette opportunité en leur apportant la première solution SaaS de marketplace, une expertise inégalée et un écosystème de vendeurs et de partenaires pour accélérer le lancement et la croissance de leur marketplace.

Notre dernière levée de fonds de 555 millions de dollars en série E valorise Mirakl à plus de 3,5 milliards de dollars et nous place parmi les acteurs les plus dynamiques de l'eCommerce au niveau mondial.
Your impact:
The Business Intelligence team is the owner of customer data and insights at Mirakl, and acts as the main point of contact for anyone who needs insights about our customers, our products and the business as a whole.",€40K - €60K (Employer est.),501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2011,Unknown / Non-Applicable,4.1
84,"FED IT
4.0",Analyste Données - PowerBI (H/F),Guyancourt,"Fed IT, cabinet entièrement dédié aux recrutements sur les métiers de l’IT, recherche pour un Société de 300 personnes, un ou une : Analyste Données - PowerBI (H/F)
Votre fonction
Dans le cadre d'une création de poste, vous êtes rattaché.e au Responsable du Pôle Data. et répondez à des enjeux majeurs :
Technique : Sécuriser la plateforme data (administration fonctionnelle + support aux utilisateurs). Administration technique assurée par la DSI, l'alimentation de la plateforme assurée par la DSI, développer/recetter les flux de données, construire les rapports dataviz, et mettre en production / industrialiser les cas d'usages (assurée par la DSI).
Métier / gestion du changement : Etre au service des métiers (Pilotage et suivi de la FDR, accompagnement projets, formation, support fonctionnel, ...). Produire des Analyse des données pour les métiers, COMEX et élus.
- Construire la connaissance fonctionnelle autour des données (Alimenter le dictionnaire des données).-",€40K - €60K (Employer est.),201 to 500 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2010,$25 to $100 million (USD),4.0
85,"SumUp
3.6",Product Data Analyst,Paris,"SumUp is a digital ecosystem dedicated to local entrepreneurs. Our range of solutions answers all our merchants' challenges; from reservations, through click and collect, deliveries and digital payment, to the management of their business thanks to intuitive and comprehensive financial analytics.
In SumUp POS, we are creating the world's most complete Point of Sale, for all merchants in all businesses. We take care of the details so that merchants can focus on what they do best. We help merchants better connect to their business, to their customers and to each other.
SumUp POS offers more than a cash register, it offers an innovative ecosystem where our POS Tribe of over 400 people in Paris, Milan, Barcelona, Germany and the UK are working hard to go as far as possible and become the European leader in our market.",€40K - €60K (Employer est.),1001 to 5000 Employees,Company - Private,Financial Services,Financial Transaction Processing,2012,$100 to $500 million (USD),3.6
86,"Akkodis
3.5",Ingénieur Data Scientist Junior H/F,Paris,"Dans le cadre du développement des activités digitales, notamment en lien avec la data, notre centre de compétences est à la recherche d’un(e) Data Scientist (H/F).
Vos missions
Vous serez amené(e) à travailler sur plusieurs projets et dans différents environnements techniques qui sont :
L’implémentation d’un outil de calcul automatique
La réalisation d’études statistiques
La prédiction de valeur en deep learning ou en machine learning
Du data mining",€40K - €60K (Employer est.),5001 to 10000 Employees,Subsidiary or Business Segment,Human Resources & Staffing,HR Consulting,1994,$1 to $5 billion (USD),3.5
87,"Moët Hennessy Wines & Spirits
3.8",Business Data Analyst,Paris,"Position
Your Mission is to support the Commercial Excellence Transformation journey of Moët Hennessy initiated in 2022, by providing business data and insights to the Revenue Growth Management and Merchandizing team.
As a member of the Commercial Excellence Team with a dual reporting line to both the RGM and Merchandizing Directors you will have a very transversal role, working with Maisons and Markets to define the best differentiated approach pursuing margin and growth instead of simply meeting customer demands.
In this exciting role you will:
Conduct data analysis, set objectives and develop tools related to a mix of RGM/Merchandizing levers like consumer pricing, customer pricing, promotions, trade terms, assortment mix etc.",€40K - €60K (Employer est.),1001 to 5000 Employees,Subsidiary or Business Segment,Manufacturing,Food & Beverage Manufacturing,1765,$100 to $500 million (USD),3.8
88,"Nexton Consulting FR
3.8",Business Analyst Data H/F,Paris,"Description de l'offre

NEXTON recrute un BUSINESS ANALYST DATA H/F , en CDI , à Paris !

Qui sommes-nous ?
NEXTON c’est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…).
Nous sommes experts du digital aussi bien sur de l’accompagnement stratégique qu’opérationnel.
Fort du succès, NEXTON connaît aujourd’hui un développement significatif, autour de ses valeurs piliers : cohésion, confiance et performance.
Et pour toi ? Notre politique de développement des compétences dynamique saura te séduire avec un programme de suivi de carrière sur-mesure.

Le contexte :
Au sein d'un de nos clients grands comptes, leader de la transition énergétique en France, nous recherchons un Business Analyst orienté Data.
Tu joues un rôle essentiel en tant qu'intermédiaire incontournable entre les équipes opérationnelles et le département informatique. Cela implique notamment la compétence d'analyse des exigences des différents métiers, afin de formaliser de manière précise les cahiers des charges ou les spécifications, en veillant à les rendre aussi fidèles que possible aux besoins exprimés.


Dans le cadre d'un applicatif Data (API, ETL, interface avec mobile/web...), tu as la responsabilité de :
Recueillir les besoins et rédiger les US technico -fonctionnelles,
Valider les règles de gestion,
Analyser et résoudre les cas clients de production, dans le cadre de la MCO (Maintenance en condition opérationnelle),
Proposer des évolutions d’amélioration des fonctionnalités existantes,
Participer aux différents ateliers métiers,
Suivre l’avancement des développements des US,
Travailler de concert avec les autres membres de l’équipes (Data Engineer, testeur, datascientist…).",€40K - €60K (Employer est.),201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,2011,$25 to $100 million (USD),3.8
89,"Rubix
3.3",Data Analyst - Lyon,Lyon,"PRÉSENTATION DE L'ENTREPRISE
Rubix est leader européen de la distribution de produits et de solutions aux industriels.

Notre mission : faciliter l'industrie à nos clients en les accompagnant dans l'amélioration de leur performance économique, opérationnelle et environnementale. Pour cela, nous écoutons et analysons les besoins de chacun d'eux afin de proposer des produits et services adaptés, à forte valeur ajoutée, leur permettant de se concentrer pleinement sur leur coeur de métier.

Rubix en France, c'est la puissance d'un ancrage territorial et d'une expertise technique toujours plus innovante et performante, grâce à ses 200 agences et au savoir-faire de ses 2800 collaborateurs. La force de ce réseau, nous a permis de réaliser en 2021 un chiffre d'affaires de plus de 835 millions d'euros.

En rejoignant Rubix, vous intégrez un leader en forte croissance, qui propose de très belles perspectives aux talents entrepreneurs grâce à ses performances, son énergie, son dynamisme, et à sa culture à la fois exigeante et bienveillante.",€40K - €60K (Employer est.),5001 to 10000 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable,3.3
90,"Natixis
4.1",Data Analyst - Trade Finance & BI (F/H),Charenton-le-Pont,"Acteur financier d'envergure internationale, Natixis Corporate & Investment Banking met à disposition des entreprises, institutions financières, sponsors financiers, souverains et supranationaux une palette de services en conseil, investment banking, financements, banque commerciale et sur les marchés de capitaux.
Ses équipes d'experts, présentes dans 30 pays, conseillent les clients sur leur développement stratégique en les accompagnant dans la croissance et la transformation de leurs activités tout en maximisant leur impact positif. Natixis Corporate & Investment Banking s'est engagée à soutenir la transition environnementale en alignant son bilan financier sur une trajectoire de +1,5 °C d'ici à 2050.
Natixis Corporate & Investment Banking fait partie du pôle Global Financial Services du Groupe BPCE, 5e établissement financier européen et 2e acteur bancaire en France à travers ses réseaux Banque Populaire et Caisse d'Epargne.
Si vous êtes enthousiaste à l'idée de relever des défis passionnants, d'avoir un impact et de contribuer à la construction du monde de demain, rejoignez-nous et faites bien plus qu'un simple job.",€40K - €60K (Employer est.),10000+ Employees,Company - Private,Financial Services,Investment & Asset Management,2006,$5 to $10 billion (USD),4.1
91,"INFORMATIS
3.0",Analyste DATA,Nogent-sur-Seine,"INFORMATIS-TS recrute un Analyste DATA. Intégré au service It et encadré par son responsable, vous êtes en charge de :
Vos missions :
Préparation d’un plan de travail de correction des données
Recueillir toutes les données statiques pour L’ERP de l’entreprise
Saisir, mettre à jour, vérifier la cohérence, contrôler la qualité des données
Catégoriser les données afin de les exploiter au mieux
Créer et mettre à jour des manuels de gestion de données
Participer à la création d'un système d'analyse de la qualité des données
Analyser des données simples existantes et rechercher des écarts de données",€40K - €60K (Employer est.),10000+ Employees,Company - Private,-1,-1,1971,$25 to $100 million (USD),3.0
